Date,CRIME_COUNT
2017-12-10,664
2017-12-14,718
2019-05-20,809
2021-05-26,568
2021-06-23,583
2021-06-28,643
2021-07-27,615
2019-05-31,831
2010-01-16,937
2010-03-19,1164
2010-04-17,1024
2010-05-18,1093
2015-06-10,793
2019-01-31,459
2021-08-28,617
2021-10-09,645
2010-06-28,1168
2010-07-08,1157
2010-07-15,1097
2010-07-25,1064
2010-11-01,1118
2010-08-14,1121
2010-09-03,1098
2018-11-30,752
2019-03-21,689
2014-08-11,874
2011-01-16,769
2011-02-18,1071
2013-10-16,802
2014-02-19,710
2014-03-13,717
2013-12-28,741
2014-02-07,693
2017-11-22,656
2014-10-01,977
2015-08-18,762
2015-12-21,650
2015-10-17,706
2015-10-21,794
2015-11-09,684
2015-08-10,809
2015-08-12,760
2016-01-03,618
2011-04-13,1034
2019-11-20,729
2011-06-17,1175
2014-07-10,821
2014-08-14,796
2014-05-16,841
2014-05-30,828
2014-10-12,691
2016-02-14,514
2016-04-06,660
2016-04-26,693
2016-07-02,756
2016-08-17,862
2011-09-12,1055
2011-06-20,1107
2011-07-14,1070
2019-11-21,662
2011-08-31,1078
2011-06-01,1219
2014-08-27,782
2020-03-21,439
2019-09-09,778
2015-02-18,511
2016-05-12,690
2016-09-29,702
2016-10-16,790
2015-03-19,717
2013-08-23,907
2011-08-23,990
2011-10-21,1010
2012-04-04,865
2012-04-23,935
2012-01-12,745
2020-12-26,440
2020-05-27,568
2020-02-12,629
2016-12-17,614
2017-01-03,718
2017-05-30,814
2009-03-08,871
2009-04-28,1115
2009-05-09,1142
2009-05-10,994
2015-01-01,1235
2020-04-19,344
2012-03-17,1070
2012-05-17,954
2012-07-13,1084
2012-07-29,1017
2020-12-20,553
2020-06-17,604
2020-07-23,566
2020-07-31,630
2009-01-01,1843
2020-09-22,544
2009-06-04,1101
2009-06-10,1179
2009-08-01,1342
2009-08-21,1161
2009-08-30,1016
2009-07-02,1144
2009-07-08,1060
2020-04-06,451
2012-09-23,827
2012-11-17,875
2019-07-03,807
2013-02-18,757
2017-11-03,789
2017-08-06,865
2017-09-30,746
2018-01-17,649
2015-05-12,757
2020-11-21,537
2020-11-19,520
2021-03-26,509
2009-07-18,1120
2009-12-23,881
2010-01-04,855
2009-12-13,878
2009-12-11,991
2013-03-01,1007
2013-04-13,842
2012-12-18,851
2013-02-02,738
2013-05-21,931
2019-07-08,833
2018-03-13,638
2018-03-28,689
2018-09-01,981
2018-05-05,853
2018-05-23,781
2015-03-01,759
2021-07-07,595
2021-08-02,600
2010-01-11,955
2010-04-29,1068
2013-11-23,672
2013-10-07,777
2018-06-02,820
2018-06-29,780
2018-09-25,751
2020-03-25,438
2018-11-01,939
2020-11-02,602
2021-10-29,607
2021-11-02,600
2021-12-11,545
2021-12-16,594
2010-06-01,1303
2010-06-02,1114
2010-06-23,1005
2019-02-21,696
2019-02-28,595
2019-04-21,645
2019-04-28,606
2011-02-16,935
2010-10-28,989
2010-11-09,1121
2012-08-31,1015
2013-11-07,772
2014-03-08,684
2013-12-27,735
2014-01-22,625
2015-10-08,701
2015-10-23,777
2015-11-16,744
2015-08-16,865
2015-09-02,801
2015-12-13,651
2011-04-29,979
2011-03-07,847
2015-06-28,797
2016-02-18,681
2016-03-24,677
2016-07-01,962
2016-07-26,877
2016-08-22,728
2015-06-23,732
2015-04-14,767
2011-06-23,1046
2011-08-13,1038
2011-08-19,1169
2011-11-06,941
2011-11-30,894
2011-12-05,935
2014-12-07,595
2019-09-13,817
2016-06-06,792
2017-01-28,731
2016-10-07,863
2011-12-09,861
2011-12-15,935
2011-08-01,1239
2011-07-01,1132
2011-09-28,937
2012-02-11,712
2017-03-25,695
2020-08-28,668
2019-12-25,511
2020-01-10,624
2020-12-30,474
2020-12-31,552
2016-12-14,610
2017-02-27,633
2017-02-15,673
2017-02-01,847
2009-02-20,1106
2009-01-28,969
2009-04-15,1186
2012-02-28,893
2012-03-30,941
2012-05-16,947
2012-06-01,1225
2012-06-11,1067
2012-06-21,1056
2012-07-19,921
2015-05-02,687
2020-02-28,658
2020-09-27,654
2018-05-10,779
2020-03-06,707
2020-02-26,602
2016-08-13,827
2021-01-29,491
2021-01-31,340
2009-06-05,1168
2009-08-07,1122
2009-08-16,1121
2009-08-15,1210
2009-09-09,1147
2009-09-12,1128
2009-02-06,1136
2012-10-18,898
2012-10-28,827
2012-11-18,849
2012-01-01,1542
2013-02-20,768
2013-02-28,809
2020-10-28,549
2021-03-23,493
2009-07-17,1223
2009-09-23,1197
2013-03-23,783
2018-03-20,712
2021-05-08,542
2021-06-29,534
2021-06-11,662
2021-07-12,575
2010-02-01,1031
2010-02-19,962
2010-04-06,1059
2010-04-25,918
2010-01-12,1004
2013-12-02,790
2013-12-06,725
2013-08-29,873
2013-09-11,872
2013-09-27,965
2018-06-04,790
2018-06-24,870
2018-06-28,822
2018-07-15,812
2019-01-01,1076
2019-01-03,752
2019-01-16,700
2021-09-07,563
2021-09-23,615
2021-10-13,602
2021-01-11,489
2021-12-12,590
2010-05-26,1176
2010-07-12,1063
2010-10-25,1035
2010-08-01,1198
2010-08-17,1084
2018-11-25,574
2019-02-09,756
2019-02-20,635
